StudentNo,test_Score,Score1,Time1,Score2,Time2,Score3,Time3,Score4,Time4,Score5,Time5,Score6,Time6,Score7,Time7,Score8,Time8,Score9,Time9,Score10,Time10,correct_score,performance_score,rule_score,final_score,commit_times,commit_details
221801228,100,10,293,10,253,10,288,10,171,10,281,10,300,10,89,10,167,10,304,10,330,30,10,3,43,15,"{""11"":""实现字符数统计\n"",""12"":""实现单词统计\n"",""13"":""程序大致框架\n"",""14"":""新建文件夹，配置gitignore，添加code style\n"",""0"":""删除迷之字符\n"",""1"":""merge\n"",""2"":""编写README文件，修改读入文件的方式，修改异常类型\n"",""3"":""最最最后一次修改。修复编码bug，词数统计bug\n"",""4"":""最最后一次修改。修复文件编码bug、单词判断bug\n"",""5"":""最后修改，修复一些统计bug\n"",""6"":""添加UTF-8编码验证，优化分析过程\n"",""7"":""修复字符统计bug\n"",""8"":""完善词频排序输出\n"",""9"":""修改行数统计bug，简单实现main\n"",""10"":""实现行数统计\n""}"
221801131,80,0,2874,10,460,10,381,10,173,10,291,10,303,10,92,10,170,10,328,0,2304,24,0,3,27,15,"{""11"":""wordcount3.0\n\n实现了统计行数的功能\n"",""12"":""wordcount2.0\n\n实现了单词数计算\n"",""13"":""wordcount1.0\n\n实现计算字符数量\n"",""14"":""Create 1.cpp"",""0"":""修改换行符\n\n将换行符修正为'\\n'\n"",""1"":""真-finally\n\n加上了输出:后面的空格。调整了目录结构\n"",""2"":""finally\n\n改下文件名字和说明\n"",""3"":""说明文件撰写，冗余代码删除\n\n说明文件撰写，冗余代码，注解删除\n"",""4"":""修复一些问题\n\n用二进制读取修了\\r字符计算和行计算检查不到的问题\n"",""5"":""编程风格写入，更正一些问题\n\nvscode搞格式化会把{单独弄一行，vs2019不会，写的时候没单独一行，出现了一些不一致。\n修复了改进排序后忘记频次相同时按字典排序的问题。\n"",""6"":""wordcount5.1\n\n将函数定义从头文件分离出来\n"",""7"":""wordcount5.0\n\n改进排序速度，提高性能；添加了文件打开失败的提示，因为含空白符空行和一些不知道的错误修改了字符统计和行数统计的函数。\n"",""8"":""封装后\n\n将函数封装为类\n"",""9"":""wordcount4.0\n\n完成保存计算统计单词功能\n"",""10"":""wordcount3.1\n\n修复因第5个字符为分隔符时直接进入下一次循环读取新字符而造成错过分隔符导致次数统计缺失的错误。\n""}"
221801332,72,7,349,7,231,7,258,7,147,7,246,7,271,9,82,7,150,7,258,7,304,21.6,0,3,24.6,27,"{""22"":""Create 221801332"",""23"":""Delete 221801332"",""24"":""Create 221801332"",""25"":""Delete 221801332"",""26"":""Create 221801332"",""10"":""Create FileIo.cpp"",""11"":""Create FileIo.h"",""12"":""Update codestyle.md"",""13"":""Update README.md"",""14"":""Delete .keep"",""15"":""Create codestyle.md"",""16"":""Create README.md"",""17"":""Create WordCount.cpp"",""18"":""Create .keep"",""19"":""Delete 221801332/src directory"",""0"":""Update README.md"",""1"":""Update codestyle.md"",""2"":""Update README.md"",""3"":""Update FileIo.h"",""4"":""Update FileIo.cpp"",""5"":""Update Count.cpp"",""6"":""Update FileIo.cpp"",""7"":""Update WordCount.cpp"",""8"":""Create Count.cpp"",""9"":""Create Count.h"",""20"":""Create WordCount.cpp"",""21"":""Delete 221801332""}"
71808114,50,5,23562,5,30437,5,35485,5,16857,5,32465,5,37137,5,7023,5,17599,5,35734,5,41497,15,0,3,18,16,"{""11"":""Create 071808114"",""12"":""Delete 071808114"",""13"":""Create 071808114"",""14"":""Delete 071808114"",""15"":""Create 071808114"",""0"":""在输出冒号之后添加空格\n"",""1"":""修改一些要求\n"",""2"":""修改了一些函数接口和一些地方 便于单元测试\n"",""3"":""Revert \""删除和修改一些不必要的变量和名字\""\n\nThis reverts commit 633ba1d819834734024debc92f8e4632d99ed304.\n"",""4"":""删除和修改一些不必要的变量和名字\n"",""5"":""代码规范制定\n"",""6"":""更改.h .cpp文件名\n"",""7"":""上传代码\n"",""8"":""新增文件要求\n"",""9"":""Create .keep"",""10"":""Delete 071808114""}"
31801133,43,2,467,5,396,2,456,7,232,7,389,2,468,7,124,2,242,2,456,7,536,12.9,0,3,15.9,18,"{""11"":""Add files via upload"",""12"":""Delete 031801133"",""13"":""Create 031801133"",""14"":""Delete 031801133"",""15"":""Create 031801133"",""16"":""Delete 031801133"",""17"":""Create 031801133"",""0"":""Add files via upload"",""1"":""Delete WordCount.cpp"",""2"":""Update codestyle.md"",""3"":""Update README.md"",""4"":""Create codestyle.md"",""5"":""Delete README"",""6"":""Create README.md"",""7"":""Update README"",""8"":""Create README"",""9"":""Add files via upload"",""10"":""Delete 031801133 directory""}"
221801121,41,6,603,3,294,1,345,1,189,6,337,8,399,1,7249,6,314,6,339,3,387,12.3,0,3,15.3,16,"{""11"":""Update WordCount.cpp\n\n完成统计行数\n"",""12"":""Update WordCount.cpp\n\n完成统计字符\n"",""13"":""Update WordCount.cpp\n\nbasic struct\n"",""14"":""test\n\ntest\n"",""15"":""Create 1.txt"",""0"":""发现输出格式还不正确再次更改\n"",""1"":""上传readme说明\n"",""2"":""更改了不符合要求的输出格式\n\n输出到指定目录而不是固定目录\n\n并且对输出的格式错误进行了更改\n"",""3"":""上传错误，重新上传代码规范\n"",""4"":""修复了\\r等字符无法count的问题\n\n采用了二进制方式来读取文件\n"",""5"":""进行封装\n"",""6"":""上传失败再传一次\n"",""7"":""统计词频\n\n完成了统计前十单词的功能\n"",""8"":""之前不小心撤销了再commit一次\n\n完成统计单词\n"",""9"":""Revert \""Update WordCount.cpp\""\n\nThis reverts commit 64fec640ac4cffd612646076ec76d10fea65e053.\n"",""10"":""Update WordCount.cpp\n""}"
221801217,25,0,623,5,285,0,340,5,181,5,309,0,345,5,109,0,201,0,338,5,365,7.5,0,3,10.5,11,"{""0"":""finally\n"",""1"":""添加项目说明 完善代码规范\n"",""2"":""修改输出以符合标准\n"",""3"":""debug\n"",""4"":""初步完成\n"",""5"":""完成部分功能\n"",""6"":""1\n"",""7"":""初步确定需要的函数\n"",""8"":""gitignore\n"",""9"":""修改项目文件至正确位置，添加代码约束文件\n"",""10"":""建立个人文件夹，添加项目文件\n""}"
221801126,25,0,457,5,383,0,458,5,226,5,396,0,456,5,122,0,243,0,460,5,510,7.5,0,3,10.5,22,"{""11"":""int CountChar\n\n添加ASCII码计数函数体"",""12"":""int CountChar\n\n添加ASCII码计数函数声明"",""13"":""InputFile\n\n更新输入模块的函数体"",""14"":""InputFile\n\n创建了输入的函数"",""15"":""This is Lib.h\n\n包含其它自定义函数声明和其他头文件"",""16"":""This is Lib.cpp\n\n包含其它自定义函数"",""17"":""Create WordCount.cpp\n\nThis is WordCount.cpp"",""18"":""Delete src"",""19"":""Create src"",""0"":""Update README.md"",""1"":""Update codestyle.md"",""2"":""Update WordCount.cpp"",""3"":""Update Lib.cpp\n\n重新在本地排版了一下 和原来版本只有顺序上的差别"",""4"":""主函数"",""5"":""Update Lib.h\n\n更新输出函数 添加常量"",""6"":""add output fix some nubmer's ascii \n\n增加了输出函数，优化了判断条件冗余的常量ascii值 使用字符串判断"",""7"":""add CountWord&CountRow fucs\n\n添加了词数统计和行数统计函数体"",""8"":""add CountWord/CountRow fuc\n\n添加了 词数统计和行数统计 函数声明 创建了map来记录单词 vector容器来记录单词的出现次数"",""9"":""add some aid-fucs note\n\n添加函数声明 定义特定字符的ASCII码数值为常量"",""20"":""Create codestyle.md"",""10"":""add some aid-fuc\n\n添加了辅助判断是否为单词，是否为数字单词，是否为空白或者换行字符，和比较函数。"",""21"":""Create README.md""}"
221801305,2,0,16518,0,26784,0,38399,0,8268,0,30545,0,39498,2,1467,0,8996,0,36252,0,48431,0.6,0,3,3.6,10,"{""0"":""完成READEME.md的编写\n"",""1"":""将代码进行划分\n\n在头文件中加入namespace解决了加头文件不能编译的问题，将几个函数独立放在另一个源文件中。\n"",""2"":""将输出功能单独划分出来\n\n将先前四个主要函数中输出到文件的部分提取出来单独放到一个函数中。并改变了三个函数的返回类型，在main中新增三个变量用于接收结果并传入新增的函数。\n"",""3"":""完成功能2和4\n\n往.cpp文件中主要增加了单词统计和排序的函数，新增一个结构体变量来存放单词的内容及频度，并利用vector对单词进行排序输出。至此，命令行环境下题目的要求基本完成。\n"",""4"":""添加.cpp文件\n\n主要写了两个函数。基本实现了1和3的要求。\n"",""5"":""完成codestyle.md文件的编写\n"",""6"":""文件夹\n\n熟悉操作\n"",""7"":""Create src"",""8"":""Delete 221801305"",""9"":""Create 221801305""}"
131801208,0,0,482,0,124,0,132,0,107,0,128,0,146,0,76,0,96,0,142,0,143,0,0,3,3,24,"{""11"":""Update .gitignore\n"",""22"":""基本能用\n"",""12"":""无用的\n"",""23"":""f\n\nchange\n"",""13"":""修改了手册和代码规范\n"",""14"":""符合命令行参数要求最终稿\n"",""15"":""测试所用的\n"",""16"":""修改了规范化代码\n"",""17"":""Update codestyle.md\n"",""18"":""Update WordCount.exe\n"",""19"":""测试版，种类数改为总数\n"",""0"":"".gitignore update\n"",""1"":""修改完成\n"",""2"":""修改版\n"",""3"":""ww\n"",""4"":""Update .gitignore\n"",""5"":""Revert \""无用的\""\n\nThis reverts commit b4fcb0b54feaf115ac7ed7bc7649d35135b74432.\n"",""6"":""我\n"",""7"":""change\n"",""8"":""Revert \""Update .gitignore\""\n\nThis reverts commit 8189e99fce287037bfe6fb722c8ec19275f17e52.\n"",""9"":""www\n"",""20"":""修改完成\n"",""10"":""恢复\n"",""21"":""基本完成\n""}"
221801206,0,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,0,3,3,16,"{""11"":""Update WordCount.h\n\noutput wordcount to file\n"",""12"":""Update function.cpp\n\nadd a function that can sort map (study from website)\n"",""13"":""Create function.cpp\n\nadd function file\n"",""14"":""Create WordCount.h\n\nadd head file\n"",""15"":""Create WordCount.cpp\n\ncount char,enter and word\n"",""0"":""update markdown file\n\nupdate\n"",""1"":""Update WordCount.h\n\nupdate\n"",""2"":""Update WordCount.h\n\nupdate\n"",""3"":""arrange\n\narrange file\n"",""4"":""Revert \""Create README.md\""\n\nThis reverts commit 38a2fed1aab3ecc35823af6a2b3ddb56925cd994.\n"",""5"":""Revert \""change place\""\n\nThis reverts commit e9232d8f9e3d22958edddc3631d02d8011de92f4.\n"",""6"":""change place\n"",""7"":""Create README.md\n\nadd README.md\n"",""8"":""delete txt\n\ndelete txt\n"",""9"":""Delete function.cpp\n\nI delete this cpp,because some error come when I compile it.\n"",""10"":""final program\n\naccording the input.txt, WordCount.cpp can count character,word,line..\n""}"
221801319,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,0,0,2,"{""0"":""Update README.md"",""1"":""说明\n\n我之前传错位置了，然后重新上传一下\n""}"
221801235,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,3,3,12,"{""0"":""Update codestyle.md"",""11"":""Create 221801235"",""1"":""Update README.md"",""2"":""Update codestyle.md"",""3"":""添加 统计文件中各单词出现的次数 功能"",""4"":""添加 统计文件的单词总数 功能"",""5"":""添加统计文件的有效行数功能"",""6"":""Update WordCount.cpp\n\n统计文件的字符数"",""7"":""Create codestyle.md"",""8"":""Create README.md"",""9"":""Create WordCount.cpp"",""10"":""Delete 221801235""}"
221801203,0,0,2786,0,2292,0,2281,0,3313,0,2476,0,2298,0,2264,0,3384,0,2204,0,2256,0,0,3,3,17,"{""11"":""第一次commit\n\n统计字符数以及命令行程序，完成了文件操作\n"",""12"":""代码规范\n"",""13"":""复制了文件目录\n"",""14"":""Create 221801203"",""15"":""Delete 221801203"",""16"":""Create 221801203"",""0"":""Update README.md\n"",""1"":""第十次commit\n\n封装程序，因为单元测试需要封装的程序\n"",""2"":""第九次commit\n\n考虑了换行符的问题\n"",""3"":""第八次commit\n\n考虑到windows换行符的问题，将文件读取改为二进制\n"",""4"":""第七次commit\n\n进行了微调，程序功能大致完成\n"",""5"":""第六次commit\n\n增加了排序功能\n"",""6"":""第五次commit\n\n把大写变成小写\n"",""7"":""第四次commit\n\n增加了行数统计\n"",""8"":""第三次commit\n\n记录单词数\n"",""9"":""Revert \""Update WordCount.cpp\""\n\nThis reverts commit aa8a1de8174d11c3a23fa102346bd1a68b0cc889.\n"",""10"":""Update WordCount.cpp\n""}"
221801105,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,0,0,2,"{""0"":""Update cir.cpp\n"",""1"":""弄错要求\n""}"
221801231,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,3,3,17,"{""11"":""增加计算单词次数函数\n"",""12"":""添加计算行数函数\n"",""13"":""添加计算字符函数\n"",""14"":""创建基本类\n"",""15"":""codestyle\n"",""16"":""221801231\n"",""0"":""修改细节支持在dev上运行\n"",""1"":""修改冒号细节\n"",""2"":""更改readme文件\n"",""3"":""更改细节\n"",""4"":""更改比较函数\n"",""5"":""增加命令行输入\n"",""6"":""添加接口封装\n"",""7"":""增加排序\n"",""8"":""增加行数统计\n"",""9"":""删除word类\n"",""10"":""改用map类\n""}"
221801232,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,3,3,11,"{""0"":""Update codestyle.md\n"",""1"":""final update\n"",""2"":""更新修补缺漏\n"",""3"":""修补测试缺漏\n"",""4"":""新增文档说明\n"",""5"":""更新代码规范\n"",""6"":""Fix some problems\n"",""7"":""improve some functions\n"",""8"":""add sort words frequency function\n"",""9"":""Update WordCount.py\n"",""10"":""first commit\n""}"
221801211,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,3,3,19,"{""11"":""完成了通国际文件有效行数\n"",""12"":""完成统计字符函数\n"",""13"":""完成统计单词总数函数\n"",""14"":""完成头文件中函数的声明\n"",""15"":""创建了main，.h,.cpp三个文件\n"",""16"":""新建文件夹\n"",""17"":""Delete 221801211"",""18"":""Create 221801211"",""0"":""按字母排序函数BUG修改，大小写转化BUG修改\n"",""1"":""文件名修改\n"",""2"":""修改格式\n"",""3"":""程序微调\n"",""4"":""代码微调\n"",""5"":""readme、codestyle的更新、代码的微调\n"",""6"":""程序优化\n"",""7"":""代码优化\n"",""8"":""完成代码\n"",""9"":""测试用main的更改\n"",""10"":""头文件宏定义的添加\n""}"
221801135,0,0,640,0,257,0,279,0,149,0,254,0,284,0,99,0,165,0,288,0,309,0,0,3,3,21,"{""11"":""Update Lib.cpp\n\n对头文件定义的函数添加实现，等待类的封装"",""12"":""Update lib.h\n\n头文件划分，下一步用类的封装"",""13"":""Create WordCount.cpp\n\n改为命令行参数输入，in.txt out.txt"",""14"":""Update and rename Main.cpp to WordCount.cpp\n\n完成样例demo，等待封装接口和单元测试"",""15"":""Create lib.h"",""16"":""Create Lib.cpp"",""17"":""Create Main.cpp"",""18"":""Update and rename README to README.md"",""19"":""Create codestyle.md"",""0"":""Create codestyle.md"",""1"":""Update codestyle.md"",""2"":""Update README.md"",""3"":""Update README.md"",""4"":""Update WordCount.cpp\n\n增加了不是用命令行参数输入的方法，并且修改了新的输出方式"",""5"":""Update lib.h"",""6"":""Update Lib.cpp\n\n添加三个新的输出函数"",""7"":""Update lib.h\n\n完成类的封装，把文件操作改入类的构建和解构函数中"",""8"":""Update Lib.cpp\n\n完成类的封装，把文件操作改入类的构建和解构函数中"",""9"":""Update WordCount.cpp\n\n源程序完成类的封装"",""20"":""Create README"",""10"":""Update WordCount.cpp\n\n功能划分完毕，等待类的封装""}"
221801212,0,0,71697,0,111516,0,2147483647,0,19911,0,2147483647,0,2147483647,0,2456,0,24331,0,2147483647,0,2147483647,0,0,3,3,14,"{""11"":""Create keep"",""12"":""Delete keep"",""13"":""Create keep"",""0"":""修复单词数小于10时越界BUG"",""1"":""修复读取字符，行数BUG，并优化可以大文件读取"",""2"":""Add files via upload"",""3"":""Delete codestrandard"",""4"":""Create codestrandard"",""5"":""Delete keep"",""6"":""实现大小写一起统计"",""7"":""Delete WordCount.cpp"",""8"":""Create keep"",""9"":""Delete keep"",""10"":""Add files via upload""}"
221801232,0,0,196,0,236,0,266,0,158,0,235,0,258,0,103,0,158,0,276,0,289,0,0,3,3,11,"{""0"":""Update codestyle.md\n"",""1"":""final update\n"",""2"":""更新修补缺漏\n"",""3"":""修补测试缺漏\n"",""4"":""新增文档说明\n"",""5"":""更新代码规范\n"",""6"":""Fix some problems\n"",""7"":""improve some functions\n"",""8"":""add sort words frequency function\n"",""9"":""Update WordCount.py\n"",""10"":""first commit\n""}"
